type,id,geometry.type,geometry.coordinates,properties.id,properties.aqhi_type,properties.observation_type,properties.location_name_en,properties.location_name_fr,properties.location_id,properties.observation_datetime,properties.observation_datetime_text_en,properties.observation_datetime_text_fr,properties.aqhi,properties.special_notes_en,properties.special_notes_fr,properties.latest
Feature,AQ_OBS-IABOA-20260307100000,Point,"[-114.9808333, 53.2241666]",AQ_OBS-IABOA-20260307100000,AQHI-Observation,original,Drayton Valley,Drayton Valley,IABOA,2026-03-07T10:00:00Z,3:00 AM MST Saturday  7 March 2026,3h00 AM HNR samedi  7 mars 2026,2.34,,,False
Feature,AQ_OBS-IABOA-20260307090000,Point,"[-114.9808333, 53.2241666]",AQ_OBS-IABOA-20260307090000,AQHI-Observation,original,Drayton Valley,Drayton Valley,IABOA,2026-03-07T09:00:00Z,2:00 AM MST Saturday  7 March 2026,2h00 AM HNR samedi  7 mars 2026,2.47,,,False
Feature,AQ_OBS-IABOA-20260307080000,Point,"[-114.9808333, 53.2241666]",AQ_OBS-IABOA-20260307080000,AQHI-Observation,original,Drayton Valley,Drayton Valley,IABOA,2026-03-07T08:00:00Z,1:00 AM MST Saturday  7 March 2026,1h00 AM HNR samedi  7 mars 2026,2.56,,,False
Feature,AQ_OBS-IABOA-20260307060000,Point,"[-114.9808333, 53.2241666]",AQ_OBS-IABOA-20260307060000,AQHI-Observation,original,Drayton Valley,Drayton Valley,IABOA,2026-03-07T06:00:00Z,11:00 PM MST Friday  6 March 2026,11h00 PM HNR vendredi  6 mars 2026,3.2,,,False
Feature,AQ_OBS-IABOA-20260307050000,Point,"[-114.9808333, 53.2241666]",AQ_OBS-IABOA-20260307050000,AQHI-Observation,original,Drayton Valley,Drayton Valley,IABOA,2026-03-07T05:00:00Z,10:00 PM MST Friday  6 March 2026,10h00 PM HNR vendredi  6 mars 2026,3.28,,,False
Feature,AQ_OBS-IABOA-20260307040000,Point,"[-114.9808333, 53.2241666]",AQ_OBS-IABOA-20260307040000,AQHI-Observation,original,Drayton Valley,Drayton Valley,IABOA,2026-03-07T04:00:00Z,9:00 PM MST Friday  6 March 2026,9h00 PM HNR vendredi  6 mars 2026,3.22,,,False
Feature,AQ_OBS-IABOA-20260307030000,Point,"[-114.9808333, 53.2241666]",AQ_OBS-IABOA-20260307030000,AQHI-Observation,original,Drayton Valley,Drayton Valley,IABOA,2026-03-07T03:00:00Z,8:00 PM MST Friday  6 March 2026,8h00 PM HNR vendredi  6 mars 2026,2.94,,,False
Feature,AQ_OBS-IABOA-20260307020000,Point,"[-114.9808333, 53.2241666]",AQ_OBS-IABOA-20260307020000,AQHI-Observation,original,Drayton Valley,Drayton Valley,IABOA,2026-03-07T02:00:00Z,7:00 PM MST Friday  6 March 2026,7h00 PM HNR vendredi  6 mars 2026,2.85,,,False
Feature,AQ_OBS-IABOA-20260307010000,Point,"[-114.9808333, 53.2241666]",AQ_OBS-IABOA-20260307010000,AQHI-Observation,original,Drayton Valley,Drayton Valley,IABOA,2026-03-07T01:00:00Z,6:00 PM MST Friday  6 March 2026,6h00 PM HNR vendredi  6 mars 2026,2.66,,,False
Feature,AQ_OBS-IABOA-20260307000000,Point,"[-114.9808333, 53.2241666]",AQ_OBS-IABOA-20260307000000,AQHI-Observation,original,Drayton Valley,Drayton Valley,IABOA,2026-03-07T00:00:00Z,5:00 PM MST Friday  6 March 2026,5h00 PM HNR vendredi  6 mars 2026,2.7,,,False
Feature,AQ_OBS-IADGP-20260307230000,Point,"[-112.841944444444, 49.6936111111111]",AQ_OBS-IADGP-20260307230000,AQHI-Observation,original,Lethbridge,Lethbridge,IADGP,2026-03-07T23:00:00Z,4:00 PM MST Saturday  7 March 2026,4h00 PM HNR samedi  7 mars 2026,1.77,,,False
Feature,AQ_OBS-IADGP-20260307220000,Point,"[-112.841944444444, 49.6936111111111]",AQ_OBS-IADGP-20260307220000,AQHI-Observation,original,Lethbridge,Lethbridge,IADGP,2026-03-07T22:00:00Z,3:00 PM MST Saturday  7 March 2026,3h00 PM HNR samedi  7 mars 2026,1.81,,,False
Feature,AQ_OBS-IADGP-20260307210000,Point,"[-112.841944444444, 49.6936111111111]",AQ_OBS-IADGP-20260307210000,AQHI-Observation,original,Lethbridge,Lethbridge,IADGP,2026-03-07T21:00:00Z,2:00 PM MST Saturday  7 March 2026,2h00 PM HNR samedi  7 mars 2026,1.93,,,False
Feature,AQ_OBS-IADGP-20260307190000,Point,"[-112.841944444444, 49.6936111111111]",AQ_OBS-IADGP-20260307190000,AQHI-Observation,original,Lethbridge,Lethbridge,IADGP,2026-03-07T19:00:00Z,12:00 PM MST Saturday  7 March 2026,12h00 PM HNR samedi  7 mars 2026,1.86,,,False
Feature,AQ_OBS-IADGP-20260307180000,Point,"[-112.841944444444, 49.6936111111111]",AQ_OBS-IADGP-20260307180000,AQHI-Observation,original,Lethbridge,Lethbridge,IADGP,2026-03-07T18:00:00Z,11:00 AM MST Saturday  7 March 2026,11h00 AM HNR samedi  7 mars 2026,1.86,,,False
Feature,AQ_OBS-IADGP-20260307170000,Point,"[-112.841944444444, 49.6936111111111]",AQ_OBS-IADGP-20260307170000,AQHI-Observation,original,Lethbridge,Lethbridge,IADGP,2026-03-07T17:00:00Z,10:00 AM MST Saturday  7 March 2026,10h00 AM HNR samedi  7 mars 2026,1.86,,,False
Feature,AQ_OBS-IADGP-20260307140000,Point,"[-112.841944444444, 49.6936111111111]",AQ_OBS-IADGP-20260307140000,AQHI-Observation,original,Lethbridge,Lethbridge,IADGP,2026-03-07T14:00:00Z,7:00 AM MST Saturday  7 March 2026,7h00 AM HNR samedi  7 mars 2026,1.96,,,False
Feature,AQ_OBS-IADGP-20260307130000,Point,"[-112.841944444444, 49.6936111111111]",AQ_OBS-IADGP-20260307130000,AQHI-Observation,original,Lethbridge,Lethbridge,IADGP,2026-03-07T13:00:00Z,6:00 AM MST Saturday  7 March 2026,6h00 AM HNR samedi  7 mars 2026,1.95,,,False
Feature,AQ_OBS-IADGP-20260307120000,Point,"[-112.841944444444, 49.6936111111111]",AQ_OBS-IADGP-20260307120000,AQHI-Observation,original,Lethbridge,Lethbridge,IADGP,2026-03-07T12:00:00Z,5:00 AM MST Saturday  7 March 2026,5h00 AM HNR samedi  7 mars 2026,1.0,,,False
Feature,AQ_OBS-IADGP-20260307100000,Point,"[-112.841944444444, 49.6936111111111]",AQ_OBS-IADGP-20260307100000,AQHI-Observation,amendment,Lethbridge,Lethbridge,IADGP,2026-03-07T10:00:00Z,3:00 AM MST Saturday  7 March 2026,3h00 AM HNR samedi  7 mars 2026,2.01,,,False
Feature,AQ_OBS-IADGP-20260307090000,Point,"[-112.841944444444, 49.6936111111111]",AQ_OBS-IADGP-20260307090000,AQHI-Observation,original,Lethbridge,Lethbridge,IADGP,2026-03-07T09:00:00Z,2:00 AM MST Saturday  7 March 2026,2h00 AM HNR samedi  7 mars 2026,2.1,,,False
Feature,AQ_OBS-IADGP-20260307080000,Point,"[-112.841944444444, 49.6936111111111]",AQ_OBS-IADGP-20260307080000,AQHI-Observation,original,Lethbridge,Lethbridge,IADGP,2026-03-07T08:00:00Z,1:00 AM MST Saturday  7 March 2026,1h00 AM HNR samedi  7 mars 2026,2.15,,,False
Feature,AQ_OBS-IADGP-20260307060000,Point,"[-112.841944444444, 49.6936111111111]",AQ_OBS-IADGP-20260307060000,AQHI-Observation,original,Lethbridge,Lethbridge,IADGP,2026-03-07T06:00:00Z,11:00 PM MST Friday  6 March 2026,11h00 PM HNR vendredi  6 mars 2026,2.19,,,False
